Date,Author,Text
10/14/2021 4:03,HidupItuIndah20,"@Dennysiregar7 @DivHumas_Polri Setiap ada tawaran sms scam dari pinjol, pasti selalu kublokir. Kata katanya sih manis kayak angin surga, tapi ujungnya seperti dalam berita"
10/14/2021 4:03,ruzelmisbah,RT @pinjollaknat: Penggrebekan kantor pinjol pada hari Rabu 13/10/2021 di Jakarta Barat. â›” https://t.co/ub77h8xOFz
10/14/2021 4:03,ratekajo,RT @tvOneNews: Wakil Ketua DPR RI: Aplikasi Pinjol Harus Di Hapus dari Android &amp; IOS https://t.co/h0XtLfID2c
10/14/2021 4:03,polsek_pgd,Bareskrim Polri telah menangani perkara pinjaman online (pinjol) ilegal sebanyak 370 kasus dalam periode kurun waktu 2020-2021.  #SiapMenujuEndemi Edukasi Prokes Presisi https://t.co/6lCfeQIwkb
10/14/2021 4:03,rezestful,RT @pinjollaknat: Penggrebekan kantor pinjol pada hari Rabu 13/10/2021 di Jakarta Barat. â›” https://t.co/ub77h8xOFz
10/14/2021 4:03,LautHumas,Direktorat Siber Bareskrim Polri akan mendeteksi server-server yang diduga melakukan pelanggaran dalam transaksi pinjol.  #SiapMenujuEndemi Edukasi Prokes Presisi https://t.co/V57A796T4T
10/14/2021 4:03,MudiharjaFarid,RT @pinjollaknat: Penggrebekan kantor pinjol pada hari Rabu 13/10/2021 di Jakarta Barat. â›” https://t.co/ub77h8xOFz
10/14/2021 4:03,myusuffin,RT @pinjollaknat: Penggrebekan kantor pinjol pada hari Rabu 13/10/2021 di Jakarta Barat. â›” https://t.co/ub77h8xOFz
10/14/2021 4:03,NiviaAyu,Kapolri Jenderal Listyo Sigit Prabowo menginstruksikan seluruh jajaran kepolisian untuk menindak tegas pinjaman online (pinjol) ilegal.  #SiapMenujuEndemi Edukasi Prokes Presisi https://t.co/nPe05U3obv
10/14/2021 4:03,AgraDhavin,Bareskrim Polri telah menangani perkara pinjaman online (pinjol) ilegal sebanyak 370 kasus dalam periode kurun waktu 2020-2021.  #SiapMenujuEndemi Edukasi Prokes Presisi https://t.co/YonV0omuxQ
10/14/2021 4:03,HUMAS_BACIP,Kapolri Jenderal Listyo Sigit Prabowo menginstruksikan seluruh jajaran kepolisian untuk menindak tegas pinjaman online (pinjol) ilegal.  #SiapMenujuEndemi Edukasi Prokes Presisi https://t.co/GHTqigDgYi
10/14/2021 4:03,voidotid,"Kantor pinjaman online (pinjol) di Green Lake, Tangerang, yang digerebek ternyata merupakan PT Indo Tekno yang bergerak di bidang penagihan. Perusahaan itu bekerja berdasarkan belasan aplikasi pinjol. https://t.co/QjKM8jZvDH"
10/14/2021 4:03,MawarDjingga2,RT @NS_Indah79: Kapolri Perintahkan Jajaran Tindak Tegas Pinjol Ilegal  Kapolri Jenderal Pol Listyo Sigit Prabowo menindaklanjuti arahan Prâ€¦
10/14/2021 4:02,Scorpions1859,RT @tukangrosok___: Polisi menggerebek kantor Pinjaman Online (Pinjol) di Jakarta Barat. đź�±đź�±đź�± .. .. .. .. https://t.co/Hdsvy0sLAj
10/14/2021 4:02,POLSEKBUMIAYU51,Kapolri Jenderal Listyo Sigit Prabowo menginstruksikan seluruh jajaran kepolisian untuk menindak tegas pinjaman online (pinjol) ilegal.  #SiapMenujuEndemi Edukasi Prokes Presisi https://t.co/ZrJocS6Zbz
10/14/2021 4:02,kota_panjang,RT @kota_panjang: Bareskrim Polri telah menangani perkara pinjaman online (pinjol) ilegal sebanyak 370 kasus dalam periode kurun waktu 2020â€¦
10/14/2021 4:02,NisaSir18336827,Kapolri Jenderal Listyo Sigit Prabowo menginstruksikan seluruh jajaran kepolisian untuk menindak tegas pinjaman online (pinjol) ilegal.  #SiapMenujuEndemi Edukasi Prokes Presisi https://t.co/mJSgESQ17Y
10/14/2021 4:02,AidanDirgantara,Bareskrim Polri telah menangani perkara pinjaman online (pinjol) ilegal sebanyak 370 kasus dalam periode kurun waktu 2020-2021.  #SiapMenujuEndemi Edukasi Prokes Presisi https://t.co/Zx9taPSRM3
10/14/2021 4:02,liputan6dotcom,32 Karyawan Pinjol Ilegal di Cipondoh Tangerang Dibawa ke Polda Metro Jaya https://t.co/Hr0lEc32UC
10/14/2021 4:02,hendry_MHC,RT @pinjollaknat: Penggrebekan kantor pinjol pada hari Rabu 13/10/2021 di Jakarta Barat. â›” https://t.co/ub77h8xOFz
10/14/2021 4:02,KuretaID,"Berantas Sindikat Pinjol, Polisi Gerebek Kantor di Cengkareng   https://t.co/7S7ZAehdVG"
10/14/2021 4:02,sundaifundai,"ni orang2 kalau ikut pinjol atau daftar apapun itu pake lah nomor dan email sendiri atau keluarga terdekat, ini kenal kaga apa kaga. dipikir orang yang digunakan data pribadi tanpa persetujuannya gabisa lapor ke pihak berwajib apa ya."
10/14/2021 4:02,POLSEKBUMIAYU51,Bareskrim Polri telah menangani perkara pinjaman online (pinjol) ilegal sebanyak 370 kasus dalam periode kurun waktu 2020-2021.  #SiapMenujuEndemi Edukasi Prokes Presisi https://t.co/J6srqPVMD4
10/14/2021 4:02,restanjungpriok,"Kejahatan pinjol ilegal sangat merugikan masyarakat sehingga diperlukan langkah penanganan khusus dengan strategi Pre-emtif, Preventif maupun Represif.  #SiapMenujuEndemi Edukasi Prokes Presisi https://t.co/Le18bdqeS1"
10/14/2021 4:02,WajahPribumiii,RT @ini_d00m: Ketua DPR RI @puanmaharani_ri mengingatkan ttg pentingnya penanganan kebocoran data warga.  Utk itu DPR memperjuangkan solusiâ€¦
10/14/2021 4:01,Sinopal42149381,Kapolri Jenderal Listyo Sigit Prabowo menginstruksikan seluruh jajaran kepolisian untuk menindak tegas pinjaman online (pinjol) ilegal.  #SiapMenujuEndemi Edukasi Prokes Presisi https://t.co/UNxU90dHh6
10/14/2021 4:01,PUjungloe,Kapolri Jenderal Listyo Sigit Prabowo menginstruksikan seluruh jajaran kepolisian untuk menindak tegas pinjaman online (pinjol) ilegal.  #SiapMenujuEndemi Edukasi Prokes Presisi https://t.co/Qw9sTlEtXO
